sample_id,dataset,ethnicity
GTEX-1CAMR,GTEx,white
GTEX-1CAMR,GTEx,white
GTEX-1CAMR,GTEx,white
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAMS,GTEx,asian
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CAV2,GTEx,black or african american
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4E,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4F,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4G,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4H,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4I,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
GTEX-1CB4J,GTEx,white
